timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585292801814,945,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5248,562,1,1,http://loxodo.tech/api/warehouses/all,944,0,286
1585292802762,365,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,365,0,0
1585292803130,341,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,341,0,0
1585292803473,320,http://loxodo.tech/api/request-filters/all?type=0,200,OK,Thread Group 1-1,text,true,,1176,660,1,1,http://loxodo.tech/api/request-filters/all?type=0,320,0,0
1585292803797,341,http://loxodo.tech/api/transportation-types?page=1&limit=50,200,OK,Thread Group 1-1,text,true,,8367,670,1,1,http://loxodo.tech/api/transportation-types?limit=50&page=1,340,0,0
1585292804141,690,http://loxodo.tech/api/inrequest-v2/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=0&limit=50,200,OK,Thread Group 1-1,text,true,,417,715,1,1,http://loxodo.tech/api/inrequest-v2/?limit=50&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=0,690,0,274
1585292804834,1884,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,366,0,0
1585292806721,1210,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1210,0,279
1585292807934,1140,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1140,0,0
1585292809076,1043,"http://loxodo.tech/api/receive-tasks?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0,1%5D&page=1&limit=50",200,OK,Thread Group 1-1,text,true,,823,732,1,1,http://loxodo.tech/api/receive-tasks?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,1043,0,281
1585292810121,1035,http://loxodo.tech/api/zones/receiving?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,200,OK,Thread Group 1-1,text,true,,923,699,1,1,http://loxodo.tech/api/zones/receiving?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1035,0,0
1585292811158,21007,http://loxodo.tech/api/warehouses/all,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to loxodo.tech:80 [loxodo.tech/13.84.180.32] failed: Connection timed out: connect,Thread Group 1-1,text,false,,2723,0,1,1,http://loxodo.tech/api/warehouses/all,0,0,21007
1585292832169,1306,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1306,0,279
1585292833478,1607,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1607,0,0
1585292835089,1980,"http://loxodo.tech/api/putaway-tasks/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0,1%5D&page=1&limit=50",200,OK,Thread Group 1-1,text,true,,1209,733,1,1,http://loxodo.tech/api/putaway-tasks/?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,1980,0,276
1585292837070,354,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,312,0,0
1585292837427,2823,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,2823,0,2481
1585292840253,3303,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,3303,0,2489
1585292843559,3205,http://loxodo.tech/api/in-doc?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,11357,706,1,1,http://loxodo.tech/api/in-doc?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,2933,0,2475
1585292846767,650,http://loxodo.tech/api/in-doc?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50&sort_by=%7B%7D,500,Internal Server Error,Thread Group 1-1,text,false,,461,721,1,1,http://loxodo.tech/api/in-doc?limit=50&page=1&sort_by=%7B%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,650,0,286
1585292847419,1893,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,342,0,0
1585292849315,637,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,637,0,283
1585292849954,996,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,995,0,0
1585292850952,330,http://loxodo.tech/api/request-filters/all?type=1,200,OK,Thread Group 1-1,text,true,,407,660,1,1,http://loxodo.tech/api/request-filters/all?type=1,330,0,0
1585292851285,629,http://loxodo.tech/api/transportation-types?page=1&limit=50,200,OK,Thread Group 1-1,text,true,,8367,670,1,1,http://loxodo.tech/api/transportation-types?limit=50&page=1,628,0,0
1585292851917,1002,"http://loxodo.tech/api/outbound-requests/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&doc_status=0&sort_by=%7B%22value%22:%22poid%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,2293,784,1,1,http://loxodo.tech/api/outbound-requests/?doc_status=0&sort_by=%7B%22value%22%3A%22poid%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1002,0,286
1585292852922,1014,"http://loxodo.tech/api/outbound-requests/items?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&doc_status=0&limit=0&page=0&sort_by=%7B%22value%22:%22poid%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,2339,804,1,1,http://loxodo.tech/api/outbound-requests/items?doc_status=0&limit=0&page=0&sort_by=%7B%22value%22%3A%22poid%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1014,0,0
1585292853939,610,http://loxodo.tech/api/request-filters/all?type=1,200,OK,Thread Group 1-1,text,true,,407,660,1,1,http://loxodo.tech/api/request-filters/all?type=1,610,0,276
1585292854552,429,http://loxodo.tech/api/transportation-types?page=1&limit=50,200,OK,Thread Group 1-1,text,true,,8367,670,1,1,http://loxodo.tech/api/transportation-types?limit=50&page=1,429,0,0
1585292854984,2027,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,2027,0,0
1585292857014,2870,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,2870,0,2487
1585292859888,689,http://loxodo.tech/api/request-filters/all?type=1,200,OK,Thread Group 1-1,text,true,,407,660,1,1,http://loxodo.tech/api/request-filters/all?type=1,689,0,285
1585292860579,514,http://loxodo.tech/api/transportation-types?page=1&limit=50,200,OK,Thread Group 1-1,text,true,,8367,670,1,1,http://loxodo.tech/api/transportation-types?limit=50&page=1,513,0,0
1585292861095,850,"http://loxodo.tech/api/outbound-requests/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&doc_status=0&sort_by=%7B%22value%22:%22poid%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,2293,784,1,1,http://loxodo.tech/api/outbound-requests/?doc_status=0&sort_by=%7B%22value%22%3A%22poid%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,850,0,0
1585292861948,1178,"http://loxodo.tech/api/outbound-requests/items?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&doc_status=0&limit=0&page=0&sort_by=%7B%22value%22:%22poid%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,2339,804,1,1,http://loxodo.tech/api/outbound-requests/items?doc_status=0&limit=0&page=0&sort_by=%7B%22value%22%3A%22poid%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,1178,0,279
1585292863129,380,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,380,0,0
1585292863512,387,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,387,0,0
1585292863901,889,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,889,0,0
1585292864793,7799,"http://loxodo.tech/api/pick-lists/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0,1%5D&page=1&limit=50&sort_by=%7B%22value%22:%22code%22,%22direction%22:%22asc%22%7D",200,OK,Thread Group 1-1,text,true,,2205,799,1,1,http://loxodo.tech/api/pick-lists/?limit=50&page=1&sort_by=%7B%22value%22%3A%22code%22%2C%22direction%22%3A%22asc%22%7D&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,7799,0,6894
1585292872593,4731,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,2482,0,278
1585292877325,966,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,966,0,273
1585292878294,451,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,451,0,0
1585292878749,432,http://loxodo.tech/api/zones?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,1092,705,1,1,http://loxodo.tech/api/zones?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,432,0,0
1585292879182,1239,"http://loxodo.tech/api/pick-tasks/?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0,1%5D&page=1&limit=50",200,OK,Thread Group 1-1,text,true,,421,730,1,1,http://loxodo.tech/api/pick-tasks/?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,1239,0,0
1585292880421,864,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,863,0,280
1585292881287,665,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,665,0,0
1585292881955,583,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,583,0,0
1585292882542,1224,"http://loxodo.tech/api/pack-tasks?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0,1%5D&page=1&limit=50",200,OK,Thread Group 1-1,text,true,,421,729,1,1,http://loxodo.tech/api/pack-tasks?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&status=%5B0%2C1%5D,1223,0,297
1585292883768,2104,http://loxodo.tech/api/warehouses/all,200,OK,Thread Group 1-1,text,true,,5123,648,1,1,http://loxodo.tech/api/warehouses/all,457,0,0
1585292885875,630,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,629,0,274
1585292886507,370,http://loxodo.tech/api/container/ids?warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0&page=1&limit=50,200,OK,Thread Group 1-1,text,true,,424,713,1,1,http://loxodo.tech/api/container/ids?limit=50&page=1&warehouse_id=aa419789-d3f8-44ca-b7bb-393dfb6834a0,370,0,0
